,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,state_t,k_ast_t,gamma_t
0,0.0,0.5004214515529181,0.4026,0.00020189977788956335,0.0,-1.0,0.0
1,1.0,0.5050772120338081,0.985,0.000207343862271509,0.0,1.0,0.0
2,2.0,0.5097305046762334,0.985,0.00021292222051121665,0.0,1.0,0.0
3,3.0,0.5143798793899025,0.985,0.00021859363642971004,0.0,1.0,0.0
4,4.0,0.5190238921650085,0.985,0.00022435765573655417,0.0,1.0,0.0
5,5.0,0.5236611072004879,0.985,0.00023021376234827674,0.0,1.0,0.0
6,6.0,0.5282900990051581,0.985,0.0002361613792657075,0.0,1.0,0.0
7,7.0,0.532909454464912,0.985,0.0002421998695827732,0.0,1.0,0.0
8,8.0,0.5375177748695275,0.985,0.0002483285376227594,0.0,1.0,0.0
9,9.0,0.5421136778926816,0.985,0.00025454663019742135,0.0,1.0,0.0
10,10.0,0.5466957995191914,0.985,0.00026085333798392504,0.0,1.0,0.0
11,11.0,0.5512627959136591,0.9965,0.0002673762981389147,0.0,1.0,0.0
12,12.0,0.5558133452251205,0.9965,0.00027403263382365877,0.0,1.0,0.0
13,13.0,0.5603461493225894,0.9965,0.00028078323668185033,0.0,1.0,0.0
14,14.0,0.5648599354567546,0.9965,0.000287627256102403,0.0,1.0,0.0
15,15.0,0.5693534578435295,0.9965,0.00029456379128916735,0.0,1.0,0.0
16,16.0,0.5738254991654719,0.9965,0.0003015918930685977,0.0,1.0,0.0
17,17.0,0.578274871987654,0.9965,0.0003087105657765845,0.0,1.0,0.0
18,18.0,0.582700420084812,0.9965,0.0003159187692170963,0.0,1.0,0.0
19,19.0,0.5871010196772055,0.9965,0.0003232154206851933,0.0,1.0,0.0
20,20.0,0.591475580572994,0.9965,0.00033059939704684256,0.0,1.0,0.0
21,21.0,0.5958230472153648,0.9965,0.00033806953686785365,0.0,1.0,0.0
22,22.0,0.6001423996331207,0.9965,0.00034562464258428954,0.0,1.0,0.0
23,23.0,0.6044326542938867,0.9965,0.0003532634827066499,0.0,1.0,0.0
24,24.0,0.6086928648595071,0.9965,0.00036098479405028257,0.0,1.0,0.0
25,25.0,0.6129221228435789,0.9965,0.0003687872839844469,0.0,1.0,0.0
26,26.0,0.6171195581716116,0.9965,0.0003766696326927048,0.0,1.0,0.0
27,27.0,0.6212843396445189,0.9965,0.0003846304954373939,0.0,1.0,0.0
28,28.0,0.6254156753066965,0.9965,0.0003926685048212201,0.0,1.0,0.0
29,29.0,0.6295128127201364,0.9965,0.0004007822730391406,0.0,1.0,0.0
30,30.0,0.633575039146497,0.9965,0.00040897039411407247,0.0,1.0,0.0
31,31.0,0.6376016816393283,0.9965,0.00041723144611016476,0.0,1.0,0.0
32,32.0,0.6415921070488301,0.9965,0.0004255639933177182,0.0,1.0,0.0
33,33.0,0.6455457219419918,0.9965,0.0004339665884041475,0.0,1.0,0.0
34,34.0,0.6494619724410103,0.9965,0.00044243777452573067,0.0,1.0,0.0
35,35.0,0.6533403439832373,0.9965,0.00045097608739523635,0.0,1.0,0.0
36,36.0,0.6571803610060116,0.9965,0.0004595800573008859,0.0,1.0,0.0
37,37.0,0.6609815865599298,0.9965,0.00046824821107246045,0.0,1.0,0.0
38,38.0,0.6647436218542809,0.9965,0.00047697907399081016,0.0,1.0,0.0
39,39.0,0.6684661057384157,0.9965,0.000485771171637269,0.0,1.0,0.0
40,40.0,0.6721487141229613,0.9965,0.0004946230316800097,0.0,1.0,0.0
41,41.0,0.6757911593448603,0.9965,0.000503533185594633,0.0,1.0,0.0
42,42.0,0.6793931894802322,0.9965,0.0005125001703166885,0.0,1.0,0.0
43,43.0,0.6829545876090948,0.9965,0.0005215225298242361,0.0,1.0,0.0
44,44.0,0.6864751710359577,0.9965,0.0005305988166488276,0.0,1.0,0.0
45,45.0,0.689954790470347,0.9965,0.0005397275933136956,0.0,1.0,0.0
46,46.0,0.6933933291711935,0.9965,0.0005489074336982469,0.0,1.0,0.0
47,47.0,0.6967907020590232,0.9965,0.0005581369243282621,0.0,1.0,0.0
48,48.0,0.7001468547998172,0.9965,0.0005674146655915515,0.0,1.0,0.0
49,49.0,0.7034617628642847,0.9965,0.0005767392728790252,0.0,1.0,0.0
50,50.0,0.7067354305662316,0.9965,0.0005861093776515202,0.0,1.0,0.0
51,51.0,0.7099678900835861,0.9965,0.0005955236284328761,0.0,1.0,0.0
52,52.0,0.7131592004655134,0.9965,0.000604980691730058,0.0,1.0,0.0
53,53.0,0.7163094466289386,0.9965,0.0006144792528812982,0.0,1.0,0.0
54,54.0,0.7194187383476454,0.9965,0.0006240180168335135,0.0,1.0,0.0
55,55.0,0.7224872092369925,0.9965,0.0006335957088503029,0.0,1.0,0.0
56,56.0,0.7255150157371015,0.9965,0.0006432110751521677,0.0,1.0,0.0
57,57.0,0.7285023360972999,0.9965,0.0006528628834905886,0.0,1.0,0.0
58,58.0,0.7314493693643231,0.9965,0.0006625499236578505,0.0,1.0,0.0
59,59.0,0.7343563343767744,0.9965,0.0006722710079345478,0.0,1.0,0.0
60,60.0,0.7372234687680242,0.9965,0.0006820249714768337,0.0,1.0,0.0
61,61.0,0.7400510279797081,0.9965,0.0006918106726455724,0.0,1.0,0.0
62,62.0,0.7428392842877467,0.9965,0.0007016269932795971,0.0,1.0,0.0
63,63.0,0.7455885258426718,0.9965,0.0007114728389153524,0.0,1.0,0.0
64,64.0,0.7482990557259165,0.9965,0.0007213471389552379,0.0,1.0,0.0
65,65.0,0.7509711910235363,0.9965,0.0007312488467870152,0.0,1.0,0.0
66,66.0,0.7536052619187238,0.9965,0.0007411769398566287,0.0,1.0,0.0
67,67.0,0.7562016108042935,0.9965,0.0007511304196968058,0.0,1.0,0.0
68,68.0,0.7587605914162251,0.9965,0.0007611083119138484,0.0,1.0,0.0
69,69.0,0.7612825679891835,0.9965,0.0007711096661349358,0.0,1.0,0.0
70,70.0,0.7637679144348101,0.9965,0.0007811335559182902,0.0,1.0,0.0
71,71.0,0.7662170135434921,0.9965,0.0007911790786285214,0.0,1.0,0.0
72,72.0,0.7686302562101506,0.9965,0.0008012453552794164,0.0,1.0,0.0
73,73.0,0.7710080406845237,0.9965,0.0008113315303464017,0.0,1.0,0.0
74,74.0,0.7733507718462739,0.9965,0.0008214367715508573,0.0,1.0,0.0
75,75.0,0.7756588605052054,0.9965,0.0008315602696184141,0.0,1.0,0.0
76,76.0,0.7779327227267182,0.9965,0.000841701238013311,0.0,1.0,0.0
77,77.0,0.7801727791825959,0.9965,0.0008518589126507806,0.0,1.0,0.0
78,78.0,0.7823794545271175,0.9965,0.0008620325515894596,0.0,1.0,0.0
79,79.0,0.78455317679841,0.9965,0.0008722214347056352,0.0,1.0,0.0
80,80.0,0.786694376844894,0.9965,0.0008824248633511794,0.0,1.0,0.0
81,81.0,0.7888034877766088,0.9965,0.000892642159996864,0.0,1.0,0.0
82,82.0,0.7908809444411514,0.9965,0.0009028726678627436,0.0,1.0,0.0
83,83.0,0.7929271829239035,0.9965,0.0009131157505371474,0.0,1.0,0.0
84,84.0,0.7949426400721776,0.9965,0.0009233707915858329,0.0,1.0,0.0
85,85.0,0.796927753042863,0.9965,0.000933637194152714,0.0,1.0,0.0
86,86.0,0.7988829588731287,0.9965,0.0009439143805535144,0.0,1.0,0.0
87,87.0,0.8008086940737029,0.9965,0.0009542017918636378,1.0,1.0,0.0
88,88.0,0.6281353431207638,0.7837,0.00037518891689188163,0.0,0.7916666666666667,1.0
