,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,state_t,k_ast_t,gamma_t
0,0.0,0.4972439256179518,0.9708671843856251,9.999000099990002e-05,0.0,-1.0,0.0
1,1.0,0.501937972534696,0.999930196334628,0.00010280895632488046,0.0,1.0,0.0
2,2.0,0.5066304018597654,0.999930196334628,0.00010567956366853951,0.0,1.0,0.0
3,3.0,0.5113197317877971,0.999930196334628,0.00010860175049647844,0.0,1.0,0.0
4,4.0,0.5160044854532025,0.999930196334628,0.00011157541165800581,0.0,1.0,0.0
5,5.0,0.520683193136573,0.999930196334628,0.00011460040961320531,0.0,1.0,0.0
6,6.0,0.5253543944470972,0.999930196334628,0.00011767657473218384,0.0,1.0,0.0
7,7.0,0.5300166404739016,0.999930196334628,0.00012080370566521568,0.0,1.0,0.0
8,8.0,0.5346684958993226,0.999930196334628,0.00012398156978216693,0.0,1.0,0.0
9,9.0,0.5393085410674638,0.999930196334628,0.00012720990367930742,0.0,1.0,0.0
10,10.0,0.5439353740015302,0.999930196334628,0.00013048841375134476,0.0,1.0,0.0
11,11.0,0.5485476123638229,0.999930196334628,0.0001338167768262175,0.0,1.0,0.0
12,12.0,0.5531438953524557,0.999930196334628,0.00013719464085997873,0.0,1.0,0.0
13,13.0,0.5577228855293799,0.999930196334628,0.00014062162568883612,0.0,1.0,0.0
14,14.0,0.5622832705745107,0.999930196334628,0.00014409732383522937,0.0,1.0,0.0
15,15.0,0.566823764961272,0.999930196334628,0.00014762130136461972,0.0,1.0,0.0
16,16.0,0.5713431115492175,0.999930196334628,0.00015119309878950383,0.0,1.0,0.0
17,17.0,0.5758400830898416,0.999930196334628,0.00015481223201703473,0.0,1.0,0.0
18,18.0,0.580313483642161,0.999930196334628,0.0001584781933364765,0.0,1.0,0.0
19,19.0,0.5847621498950821,0.999930196334628,0.00016219045244266126,0.0,1.0,0.0
20,20.0,0.589184952394016,0.999930196334628,0.00016594845749151227,0.0,1.0,0.0
21,21.0,0.593580796669736,0.999930196334628,0.00016975163618366076,0.0,1.0,0.0
22,22.0,0.597948624267843,0.999930196334628,0.00017359939687215068,0.0,1.0,0.0
23,23.0,0.6022874136777676,0.999930196334628,0.0001774911296902244,0.0,1.0,0.0
24,24.0,0.6065961811605962,0.999930196334628,0.0001814262076951865,0.0,1.0,0.0
25,25.0,0.6108739814755314,0.999930196334628,0.00018540398802441836,0.0,1.0,0.0
26,26.0,0.6151199085052205,0.999930196334628,0.00018942381305960004,0.0,1.0,0.0
27,27.0,0.6193330957804998,0.999930196334628,0.0001934850115953762,0.0,1.0,0.0
