,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,state_t,k_ast_t,gamma_t
0,0.0,0.49723260465260133,0.4392467692692108,0.00020196143785255666,0.0,-1.0,0.0
1,1.0,0.5019164320409091,0.9877997464827818,0.00020729093282734337,0.0,1.0,0.0
2,2.0,0.50659988482023,0.9877997464827818,0.0002129381318753452,0.0,1.0,0.0
3,3.0,0.5112814969906087,0.9877997464827818,0.00021868175200822978,0.0,1.0,0.0
4,4.0,0.5159598055114436,0.9877997464827818,0.0002245213762676317,0.0,1.0,0.0
5,5.0,0.5206333524758529,0.9877997464827818,0.00023045652182778747,0.0,1.0,0.0
6,6.0,0.5253006872678078,0.9877997464827818,0.00023648664074602335,0.0,1.0,0.0
7,7.0,0.5299603686949835,0.9877997464827818,0.0002426111208566398,0.0,1.0,0.0
8,8.0,0.534610967090464,0.9877997464827818,0.0002488292868046582,0.0,1.0,0.0
9,9.0,0.539251066376582,0.9877997464827818,0.00025514040121536177,0.0,1.0,0.0
10,10.0,0.5438792660844273,0.9877997464827818,0.00026154366599495215,0.0,1.0,0.0
11,11.0,0.5484941833227523,0.9877997464827818,0.0002680382237571287,0.0,1.0,0.0
12,12.0,0.5530944546903389,0.9877997464827818,0.0002746231593699101,0.0,1.0,0.0
13,13.0,0.5576787381261475,0.9877997464827818,0.00028129750161653765,0.0,1.0,0.0
14,14.0,0.5622457146919655,0.9877997464827818,0.0002880602249638936,0.0,1.0,0.0
15,15.0,0.5667940902826021,0.9877997464827818,0.00029491025143149206,0.0,1.0,0.0
16,16.0,0.5713225972590555,0.9877997464827818,0.00030184645255374,0.0,1.0,0.0
17,17.0,0.5758299960005077,0.9877997464827818,0.0003088676514279446,0.0,1.0,0.0
18,18.0,0.5803150763714154,0.9877997464827818,0.0003159726248402076,0.0,1.0,0.0
19,19.0,0.584776659100408,0.9877997464827818,0.00032316010546126853,0.0,1.0,0.0
20,20.0,0.5892135970680973,0.9877997464827818,0.00033042878410409504,0.0,1.0,0.0
21,21.0,0.5936247765014262,0.9877997464827818,0.0003377773120350448,0.0,1.0,0.0
